label	kingdom	phylum	class	order	family	genus
Paenibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Microvirga	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga
Skermanella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella
Sorangium	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium
Cellvibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio
Candidatus_Glomeribacter	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus_Glomeribacter
Flavobacterium	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Pedomicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
Niastella	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella
Ramlibacter	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
Haloferula	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula
Parasegetibacter	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Parasegetibacter
unidentified_GR-WP33-30	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	unidentified_GR-WP33-30	unidentified_GR-WP33-30
Variibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Variibacter
Kribbella	Bacteria	Actinobacteria	unidentified_Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella
Lysinimonas	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Microbacteriaceae	Lysinimonas
Exiguobacterium	Bacteria	Firmicutes	Bacilli	Bacillales	Family_XII	Exiguobacterium
Rhizocola	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micromonosporales	Micromonosporaceae	Rhizocola
Bdellovibrio	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Escherichia-Shigella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella
Dongia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia
Paucibacter	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Paucibacter
Fictibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
Candidatus_Alysiosphaera	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unidentified_Rhodospirillales	Candidatus_Alysiosphaera
Nordella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unidentified_Rhizobiales	Nordella
Sphingopyxis	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
Mycobacterium	Bacteria	Actinobacteria	unidentified_Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
Simiduia	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Simiduia
Parafilimonas	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Parafilimonas
Domibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Domibacillus
Reyranella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unidentified_Rhodospirillales	Reyranella
Polyangium	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Polyangium
Ferruginibacter	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter
Solitalea	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea
Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Luteibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteibacter
Blautia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Blastococcus	Bacteria	Actinobacteria	unidentified_Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus
Acidovorax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
Dechloromonas	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas
Rhizobacter	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
Cellulomonas	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
unidentified_Cytophagaceae	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unidentified_Cytophagaceae
Corynebacterium_1	Bacteria	Actinobacteria	unidentified_Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
Marinicella	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	unidentified_Gammaproteobacteria	Marinicella
Nitrosospira	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira
Actinophytocola	Bacteria	Actinobacteria	unidentified_Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola
Euzebya	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae	Euzebya
Paracocccus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracocccus
Rubellimicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
AKYG587	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587
Aquabacterium	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
Niabella	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niabella
Sporocytophaga	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga
Nitrolancea	Bacteria	Thermomicrobia	unidentified_Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea
Luteolibacter	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
Agaricicola	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unidentified_Rhizobiales	Agaricicola
Prosthecobacter	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter
